system_id,bulk_symbols,avg_metal_melting_point,metal_melting_point_std,metal_melting_point_range,avg_oxide_formation_enthalpy_per_O,reducibility_index,entropy_mixing_mass_weighted,min_oxide_formation_enthalpy,max_oxide_formation_enthalpy
33,Al2Si4O11,1435.6666666666667,355.4390086764379,754.0,-490.3333333333333,490.3333333333333,1.791582406058989,-559.0,-456.0
34,Zn4Bi4O12,618.5,74.5,149.0,-271.0,271.0,1.9354068498571997,-351.0,-191.0
37,Lu4Nb4O16,2337.5,412.5,825.0,-503.0,503.0,2.0317531428656115,-626.0,-380.0
39,Nb2Fe2O8,2280.5,469.5,939.0,-327.5,327.5,1.3549276675458204,-380.0,-275.0
40,Rb2Mn12O24,1346.5714285714287,422.36201707704225,1207.0,-378.42857142857144,378.42857142857144,2.6244572273663205,-385.0,-339.0
41,Mn4O4,1519.0,0.0,0.0,-385.0,385.0,1.3862943611158907,-385.0,-385.0
42,Ca2Mo4O14,2302.3333333333335,839.5714515288274,1781.0,-377.0,377.0,1.7267744895065147,-635.0,-248.0
43,Li2Ag2O4,844.5,390.5,781.0,-313.5,313.5,0.9213672339684384,-596.0,-31.0
44,Ta1Bi3O7,1230.5,1189.0528793960343,2746.0,-245.5,245.5,1.3844442503699161,-409.0,-191.0
45,Ba1Hf1O3,1753.0,753.0,1506.0,-563.5,563.5,0.6846303583928411,-573.0,-554.0
47,Al4Mo4O14,1914.5,981.5,1963.0,-403.5,403.5,1.9125298671841466,-559.0,-248.0
48,Sc4O4,1814.0,0.0,0.0,-636.0,636.0,1.3862943611158907,-636.0,-636.0
50,Sr1Cd1O2,822.0,228.0,456.0,-425.0,425.0,0.6854479033284624,-592.0,-258.0
52,Co8Ge8O24,1489.5,278.5,557.0,-264.0,264.0,2.767159462353562,-290.0,-238.0
53,Ca2Mn16O32,1474.111111111111,126.9649509330512,404.0,-412.77777777777777,412.77777777777777,2.886212472118298,-635.0,-385.0
54,Zn4Bi4O12,618.5,74.5,149.0,-271.0,271.0,1.9354068498571997,-351.0,-191.0
55,K12Fe4O12,705.5,638.2607225891313,1474.0,-341.0,341.0,2.759327938361986,-363.0,-275.0
56,Na4V40O60,2018.2727272727273,520.9133745659185,1812.0,-319.45454545454544,319.45454545454544,3.7673765348867776,-414.0,-310.0
57,K12Al4O12,486.0,258.0755703277627,596.0,-412.0,412.0,2.7613158672740425,-559.0,-363.0
58,Ba13Bi11O36,791.0,227.20695411892657,456.0,-387.625,387.625,3.1561426731123,-554.0,-191.0
59,Re8O24,3459.0,0.0,0.0,-177.0,177.0,2.079441541671836,-177.0,-177.0
60,As1Pd1O4,1459.0,369.0,738.0,-197.5,197.5,0.6779856136724457,-310.0,-85.0
61,Rb4Cu4O8,835.0,523.0,1046.0,-248.0,248.0,2.068580947379624,-339.0,-157.0
62,Li1Co8O16,1622.0,412.95036021294374,1314.0,-277.77777777777777,277.77777777777777,2.125089755337647,-596.0,-238.0
63,Cu8W4O16,2137.0,1101.672365088641,2337.0,-198.33333333333334,198.33333333333334,2.346013659555305,-281.0,-157.0
64,Rb4Cd4O6,453.0,141.0,282.0,-298.5,298.5,2.070143651232932,-339.0,-258.0
65,Re4W4O24,3577.0,118.0,236.0,-229.0,229.0,2.079421032465788,-281.0,-177.0
66,Fe2O2,1811.0,0.0,0.0,-275.0,275.0,0.6931471805579453,-275.0,-275.0
67,Li4Nb12O32,2176.0,994.1971635445356,2296.0,-434.0,434.0,2.5725379181787824,-596.0,-380.0
68,Fe6Ni6O18,1769.5,41.5,83.0,-257.5,257.5,2.4845974810585743,-275.0,-240.0
69,Rb3Lu3O6,1118.5,806.5,1613.0,-482.5,482.5,1.731487534613548,-626.0,-339.0
72,Ca8Sb4O2,1044.6666666666667,99.46635388690768,211.0,-507.6666666666667,507.6666666666667,2.3332246970089434,-635.0,-253.0
74,Sr2O2,1050.0,0.0,0.0,-592.0,592.0,0.6931471805579453,-592.0,-592.0
75,Cd2O2,594.0,0.0,0.0,-258.0,258.0,0.6931471805579453,-258.0,-258.0
76,Mg2V8O20,1931.0,504.0,1260.0,-368.4,368.4,2.2709852043737473,-602.0,-310.0
77,Ag4Bi4O12,889.5,345.5,691.0,-111.0,111.0,2.02762456743336,-191.0,-31.0
78,Rb1Pd1O3,1070.0,758.0,1516.0,-212.0,212.0,0.6871741934779558,-339.0,-85.0
79,Cu4Ge4O12,1284.5,73.5,147.0,-223.5,223.5,2.0772149239537994,-290.0,-157.0
80,Mn10Cr2O16,1629.1666666666667,246.34015552122682,661.0,-384.1666666666667,384.1666666666667,2.4847014045022804,-385.0,-380.0
81,Ca4W4O16,2405.0,1290.0,2580.0,-458.0,458.0,1.8561455102969373,-635.0,-281.0
82,Ba8Lu12O26,1555.0,453.15560241488794,925.0,-597.2,597.2,2.988961477233236,-626.0,-554.0
83,Ti6Nb12O42,2480.3333333333335,381.3662573199446,809.0,-410.6666666666667,410.6666666666667,2.8499622512527614,-472.0,-380.0
85,Ti12O2,1941.0,0.0,0.0,-472.0,472.0,2.484906649776,-472.0,-472.0
86,Hf3Sn1O8,2005.75,866.4584164863309,2001.0,-502.5,502.5,1.3728598081423362,-573.0,-291.0
87,Ni2Pt2O4,1884.5,156.5,313.0,-153.5,153.5,1.2339673419295862,-240.0,-67.0
88,Ge4Se8O24,733.0,337.9970414071697,717.0,-211.33333333333334,211.33333333333334,2.4841456218719182,-290.0,-172.0
89,Cu1Hg1O4,796.0,562.0,1124.0,-124.0,124.0,0.5517482617416809,-157.0,-91.0
90,Al2Sb2O8,918.5,14.5,29.0,-406.0,406.0,1.16665896599648,-559.0,-253.0
91,Sr4Hf4O12,1778.0,728.0,1456.0,-582.5,582.5,2.0199493625649145,-592.0,-573.0
92,Mn8Bi4O20,1194.0,459.6194077712559,975.0,-320.3333333333333,320.3333333333333,2.2691850166566647,-385.0,-191.0
93,Sr1Cd1O2,822.0,228.0,456.0,-425.0,425.0,0.6854479033284624,-592.0,-258.0
95,Li24Ge8O28,643.25,327.79061533241,757.0,-519.5,519.5,2.854683410650063,-596.0,-290.0
96,Zr4Si4O16,1907.5,220.5,441.0,-503.5,503.5,1.9320179089822465,-551.0,-456.0
97,Cu2Au2O4,1347.5,10.5,21.0,-65.0,65.0,1.2487077151353405,-157.0,27.0
98,Y4Se2O4,1364.0,615.1828996322963,1305.0,-480.6666666666667,480.6666666666667,1.7902385440478392,-635.0,-172.0
99,Sr4Tl12O20,695.25,204.81500799501973,473.0,-245.5,245.5,2.724380496946231,-592.0,-130.0
100,Sc4Mn8O16,1617.3333333333333,139.06433363335435,295.0,-468.6666666666667,468.6666666666667,2.480651712268404,-636.0,-385.0
103,K1Mg1O3,630.0,293.0,586.0,-482.5,482.5,0.6656762740377236,-602.0,-363.0
105,Rb4O4,312.0,0.0,0.0,-339.0,339.0,1.3862943611158907,-339.0,-339.0
107,Rb4Ag4O8,773.5,461.5,923.0,-185.0,185.0,2.0727135554172733,-339.0,-31.0
108,Cd16Ru16O56,1600.5,1006.5,2013.0,-205.5,205.5,3.4643243856482817,-258.0,-153.0
110,Ba1Os1O3,2153.0,1153.0,2306.0,-326.5,326.5,0.680049232945671,-554.0,-99.0
111,Si4Ag20O16,1310.3333333333333,168.45045430498413,452.0,-101.83333333333333,101.83333333333333,3.113100543539119,-456.0,-31.0
112,K1Ta1O3,1813.5,1476.5,2953.0,-386.0,386.0,0.4678563703166777,-409.0,-363.0
113,Sr2Li1O12,851.3333333333334,280.95709439145486,596.0,-593.3333333333334,593.3333333333334,0.8285950450182007,-596.0,-592.0
114,Ca1Zn1O2,904.0,211.0,422.0,-493.0,493.0,0.6640825063474172,-635.0,-351.0
115,Ce4Se2O4,876.6666666666666,270.5861949340522,574.0,-420.6666666666667,420.6666666666667,1.7606078424305225,-545.0,-172.0
116,Mn6Cr2O16,1684.25,286.22139595075697,661.0,-383.75,383.75,2.079162785981697,-385.0,-380.0
117,Ba6W2O12,1673.75,1166.969231599531,2695.0,-485.75,485.75,2.0707198583779967,-554.0,-281.0
118,Ba2O2,1000.0,0.0,0.0,-554.0,554.0,0.6931471805579453,-554.0,-554.0
119,Sr4Nb8O24,2183.3333333333335,801.3876853447539,1700.0,-450.6666666666667,450.6666666666667,2.484530442239035,-592.0,-380.0
121,Co2Ni2O6,1748.0,20.0,40.0,-239.0,239.0,1.38629227956932,-240.0,-238.0
122,Li2Ga10O16,328.1666666666667,56.274377433744704,151.0,-401.8333333333333,401.8333333333333,2.367337528878955,-596.0,-363.0
123,Sr4Zr4O12,1589.0,539.0,1078.0,-571.5,571.5,2.079238483619129,-592.0,-551.0
125,Na4Be4O6,965.5,594.5,1189.0,-511.5,511.5,1.980759405110872,-609.0,-414.0
128,Tl12Si4O14,854.5,480.64409910036346,1110.0,-211.5,211.5,2.616626544201127,-456.0,-130.0
129,K4O8,337.0,0.0,0.0,-363.0,363.0,1.3862943611158907,-363.0,-363.0
130,Cr16Co8O32,2042.6666666666667,194.21866256590505,412.0,-332.6666666666667,332.6666666666667,3.1762651070680987,-380.0,-238.0
132,Ta4Zn2O12,2424.3333333333335,1224.2375404943093,2597.0,-389.6666666666667,389.6666666666667,1.7081353082694477,-409.0,-351.0
133,Fe1Ir1O4,2265.0,454.0,908.0,-206.0,206.0,0.5333152365443348,-275.0,-137.0
134,Nb8Mo4O32,2798.6666666666665,68.82506003549064,146.0,-336.0,336.0,2.4847895931931228,-380.0,-248.0
135,Bi4Rh4O12,1390.5,846.5,1693.0,-152.5,152.5,2.020441884905767,-191.0,-114.0
136,Ni2Hg2O4,981.0,747.0,1494.0,-165.5,165.5,1.22799578081697,-240.0,-91.0
137,Cr1Au1O4,1758.5,421.5,843.0,-176.5,176.5,0.5124260777094614,-380.0,27.0
138,Ag1Te1O4,979.0,256.0,512.0,-96.0,96.0,0.6896326904989498,-161.0,-31.0
139,Tl4Cr4O12,1378.5,801.5,1603.0,-255.0,255.0,1.8905697297372552,-380.0,-130.0
140,Ca4Pt4O12,1578.0,463.0,926.0,-351.0,351.0,1.842861887553192,-635.0,-67.0
141,Mg2Pt6O12,1761.5,484.1082007155012,1118.0,-200.75,200.75,1.9154969179691688,-602.0,-67.0
143,K8Cr2O8,705.6,737.2,1843.0,-366.4,366.4,2.2953419009996914,-380.0,-363.0
144,Hf4O8,2506.0,0.0,0.0,-573.0,573.0,1.3862943611158907,-573.0,-573.0
145,Ba1Ca1O2,1057.5,57.5,115.0,-594.5,594.5,0.534285247561563,-635.0,-554.0
146,Ti4Zn8O16,1109.0,588.3128419472075,1248.0,-391.3333333333333,391.3333333333333,2.4749287410459275,-472.0,-351.0
147,Na12Au4O8,612.5,418.2902700278839,966.0,-303.75,303.75,2.2435829667879235,-414.0,27.0
148,Be2O2,1560.0,0.0,0.0,-609.0,609.0,0.6931471805579453,-609.0,-609.0
149,Zn2Cr8O16,1882.6,594.8,1487.0,-374.2,374.2,2.298003225531184,-380.0,-351.0
150,Li7Ru1O6,723.125,712.037821590258,2153.0,-540.625,540.625,1.2620799692506748,-596.0,-153.0
152,Si8Mo4O24,2090.0,569.9280656363574,1209.0,-386.6666666666667,386.6666666666667,2.300772132322659,-456.0,-248.0
153,Na4O2,371.0,0.0,0.0,-414.0,414.0,1.3862943611158907,-414.0,-414.0
154,Li7Os1O6,810.5,943.2103423945265,2852.0,-533.875,533.875,0.9010391049797912,-596.0,-99.0
158,Mg9Zn3O12,865.5,99.59292143521044,230.0,-539.25,539.25,2.3695095049473314,-602.0,-351.0
159,Sc8Bi8O24,1179.0,635.0,1270.0,-413.5,413.5,2.5463118127261266,-636.0,-191.0
160,K4Ti12O26,1540.0,694.5523738351197,1604.0,-444.75,444.75,2.7690124514713648,-472.0,-363.0
161,Fe17O18,1811.0,0.0,0.0,-275.0,275.0,2.8332133440392155,-275.0,-275.0
162,K4Pd2O4,834.0,702.8641404994282,1491.0,-270.3333333333333,270.3333333333333,1.6681519358469679,-363.0,-85.0
163,Sr12Mn6O23,1206.3333333333333,221.08872025099384,469.0,-523.0,523.0,2.869018094689678,-592.0,-385.0
165,Tl1W3O9,2915.5,1350.1336044999398,3118.0,-243.25,243.25,1.3852059624666715,-281.0,-130.0
166,Ag4Bi4O12,889.5,345.5,691.0,-111.0,111.0,2.02762456743336,-191.0,-31.0
167,Rb8Ru4O16,1077.0,1081.8733752154178,2295.0,-277.0,277.0,2.481674370393968,-339.0,-153.0
168,Li10Os2O12,929.3333333333334,1062.8776453049,2852.0,-513.1666666666666,513.1666666666666,1.3715430127362764,-596.0,-99.0
169,Mg6Sn6O18,714.0,209.0,418.0,-446.5,446.5,2.247561964463113,-602.0,-291.0
171,Sr4Mo4O12,1973.0,923.0,1846.0,-420.0,420.0,2.078409253716954,-592.0,-248.0
172,Mn18W6O36,2063.0,942.2356393174692,2176.0,-359.0,359.0,3.00274755998247,-385.0,-281.0
173,Ti6Cd6O18,1267.5,673.5,1347.0,-365.0,365.0,2.40147703536391,-472.0,-258.0
174,Sr4Al8O16,972.0,55.154328932550705,117.0,-570.0,570.0,2.315105541107651,-592.0,-559.0
175,Ce1Zr11O24,2039.6666666666667,292.9685231480603,1060.0,-550.5,550.5,2.476018135647126,-551.0,-545.0
176,Co6W2O16,2249.75,834.4154765463066,1927.0,-248.75,248.75,1.9246854295925413,-281.0,-238.0
178,Li2Ni12O14,1546.0,445.8071331865384,1274.0,-290.85714285714283,290.85714285714283,2.545689673054013,-596.0,-240.0
180,Lu4Ga4O12,1114.0,811.0,1622.0,-494.5,494.5,1.9838536732257905,-626.0,-363.0
181,Ge1Bi1O4,877.5,333.5,667.0,-240.5,240.5,0.5708593396858832,-290.0,-191.0
182,K1Au1O2,837.0,500.0,1000.0,-168.0,168.0,0.4488755754464945,-363.0,27.0
184,Ti2Cr2O8,2060.5,119.5,239.0,-426.0,426.0,1.3854393448814533,-472.0,-380.0
185,Ni1W2O8,3039.3333333333335,927.2526923959593,1967.0,-267.3333333333333,267.3333333333333,0.9984173641436591,-281.0,-240.0
186,Mg4Cu18O26,1278.909090909091,167.77715444517176,435.0,-237.9090909090909,237.9090909090909,3.0472357052088705,-602.0,-157.0
187,Sr18W6O36,1711.25,1145.3185965049202,2645.0,-514.25,514.25,3.115654579290033,-592.0,-281.0
188,Sr8Ga16O32,552.0,352.13917703090067,747.0,-439.3333333333333,439.3333333333333,3.1719867568817035,-592.0,-363.0
190,Na8Sb16O28,726.3333333333334,251.2586095816199,533.0,-306.6666666666667,306.6666666666667,3.0066014921195876,-414.0,-253.0
191,Ti3O3,1941.0,0.0,0.0,-472.0,472.0,1.0986122886651097,-472.0,-472.0
192,V4Sb4O16,1543.5,639.5,1279.0,-281.5,281.5,1.9928367795958797,-310.0,-253.0
193,Sr8Sb16O48,952.6666666666666,68.82506003549064,146.0,-366.0,366.0,3.166995923030207,-592.0,-253.0
195,Tl4Sb4O12,740.5,163.5,327.0,-191.5,191.5,2.0470019877288097,-253.0,-130.0
197,Sc4Ti4O14,1877.5,63.5,127.0,-554.0,554.0,2.078949712341665,-636.0,-472.0
198,Cd16Si8O32,958.3333333333334,515.2451412245977,1093.0,-324.0,324.0,3.044324052874299,-456.0,-258.0
199,V2Ni2O6,1955.5,227.5,455.0,-275.0,275.0,1.3837931555012974,-310.0,-240.0
200,Al16Zn8O32,853.0,113.13708498984761,240.0,-489.6666666666667,489.6666666666667,3.0814283188470766,-559.0,-351.0
202,Mg4Sb8O16,910.3333333333334,8.9566858950296,19.0,-369.3333333333333,369.3333333333333,2.3208073443616035,-602.0,-253.0
207,Ca2O2,1115.0,0.0,0.0,-635.0,635.0,0.6931471805579453,-635.0,-635.0
208,Sc2Ga2O6,1058.5,755.5,1511.0,-499.5,499.5,1.3627885012166474,-636.0,-363.0
209,Tl1Bi1O4,560.5,16.5,33.0,-160.5,160.5,0.6930852595902606,-191.0,-130.0
212,Ta2Mn2O8,2404.5,885.5,1771.0,-397.0,397.0,1.2359023575941943,-409.0,-385.0
215,Ca1Hf1O3,1810.5,695.5,1391.0,-604.0,604.0,0.47645972754618005,-635.0,-573.0
216,Cd4Fe4O12,1202.5,608.5,1217.0,-266.5,266.5,2.021815238664197,-275.0,-258.0
217,Sn1Au1O4,921.0,416.0,832.0,-132.0,132.0,0.6620949056468928,-291.0,27.0
219,Pd2Se2O6,1161.0,667.0,1334.0,-128.5,128.5,1.375282906757164,-172.0,-85.0
221,Li4O4,454.0,0.0,0.0,-596.0,596.0,1.3862943611158907,-596.0,-596.0
222,Ba1Al1O3,966.5,33.5,67.0,-556.5,556.5,0.4465887767809035,-559.0,-554.0
223,Zn2Bi8O18,573.8,59.599999999999994,149.0,-223.0,223.0,2.2390394900743256,-351.0,-191.0
224,Ga12O20,303.0,0.0,0.0,-363.0,363.0,2.484906649776,-363.0,-363.0
225,Ni2Ag2O4,1481.5,246.5,493.0,-135.5,135.5,1.3420529795264025,-240.0,-31.0
226,Al8Si4O20,1184.3333333333333,355.43900867643794,754.0,-524.6666666666666,524.6666666666666,2.4847264029105864,-559.0,-456.0
228,Sr12Si4O4,1209.25,275.8290911053437,637.0,-558.0,558.0,2.6962524582214886,-592.0,-456.0
229,Ba2O2,1000.0,0.0,0.0,-554.0,554.0,0.6931471805579453,-554.0,-554.0
231,Ba2Mn16O32,1461.3333333333333,163.10596419369696,519.0,-403.77777777777777,403.77777777777777,2.8263761307394915,-554.0,-385.0
232,Li8Ru4O12,1171.6666666666667,1014.9339332630913,2153.0,-448.3333333333333,448.3333333333333,1.838444560943246,-596.0,-153.0
233,Lu2Al2O6,1429.0,496.0,992.0,-592.5,592.5,1.0863317144063396,-626.0,-559.0
234,Al4Sn4O12,719.0,214.0,428.0,-425.0,425.0,1.865480323274984,-559.0,-291.0
235,Sr8Sn4O16,868.3333333333334,256.9154638311123,545.0,-491.6666666666667,491.6666666666667,2.4740576769774574,-592.0,-291.0
237,Ag6O2,1235.0,0.0,0.0,-31.0,31.0,1.7917594692220544,-31.0,-31.0
239,Na4Be4O6,965.5,594.5,1189.0,-511.5,511.5,1.980759405110872,-609.0,-414.0
241,Mg4Mo8O28,2238.3333333333335,930.0811195207056,1973.0,-366.0,366.0,2.353044001821549,-602.0,-248.0
243,Sr4Ti4O12,1495.5,445.5,891.0,-532.0,532.0,2.03575744401308,-592.0,-472.0
244,Ga16Hg8O32,280.0,32.526911934581186,69.0,-272.3333333333333,272.3333333333333,3.0405875346802063,-363.0,-91.0
245,Sr1Sb1O3,977.0,73.0,146.0,-422.5,422.5,0.67979453133756,-592.0,-253.0
247,Ca8Ga8O20,709.0,406.0,812.0,-499.0,499.0,2.7356856145313073,-635.0,-363.0
248,Mn1Cu1O2,1438.5,80.5,161.0,-271.0,271.0,0.6905057585348687,-385.0,-157.0
249,Ag2Bi2O4,889.5,345.5,691.0,-111.0,111.0,1.3344773868774151,-191.0,-31.0
251,Ti4Cd4O12,1267.5,673.5,1347.0,-365.0,365.0,1.9960119272597452,-472.0,-258.0
252,Cr16Cd8O32,1651.3333333333333,747.6475699745762,1586.0,-339.3333333333333,339.3333333333333,3.104923871237209,-380.0,-258.0
253,Lu18W3O36,2177.8571428571427,619.3709778180321,1770.0,-576.7142857142857,576.7142857142857,3.044369168019456,-626.0,-281.0
254,Co4Si8O24,1714.0,38.18376618407357,81.0,-383.3333333333333,383.3333333333333,2.417414231648475,-456.0,-238.0
255,Ga12O18,303.0,0.0,0.0,-363.0,363.0,2.484906649776,-363.0,-363.0
258,Na2Li2O2,412.5,41.5,83.0,-505.0,505.0,1.2347091849667124,-596.0,-414.0
259,Al4Bi4O12,738.5,194.5,389.0,-375.0,375.0,1.7418066647222266,-559.0,-191.0
260,Li10Al2O8,533.8333333333334,178.51276020373322,479.0,-589.8333333333334,589.8333333333334,2.2839036681548377,-596.0,-559.0
262,K6Bi2O8,388.75,89.6336292916894,207.0,-320.0,320.0,1.7412205470896533,-363.0,-191.0
265,Y4Ge1O10,1681.4,235.2,588.0,-566.0,566.0,1.6064293454383978,-635.0,-290.0
266,Rb8Mn12O16,1036.2,591.3068239078591,1207.0,-366.6,366.6,2.9714584453999455,-385.0,-339.0
267,Y2Bi24O40,640.5384615384615,334.4190405382986,1255.0,-225.15384615384616,225.15384615384616,3.2421544767175936,-635.0,-191.0
268,Co16Si8O32,1741.0,38.18376618407357,81.0,-310.6666666666667,310.6666666666667,3.128936096418334,-456.0,-238.0
269,Cr4Ni2O8,2029.3333333333333,213.07484339754635,452.0,-333.3333333333333,333.3333333333333,1.790086748373884,-380.0,-240.0
271,Cd1Ir1O3,1656.5,1062.5,2125.0,-197.5,197.5,0.658424012621705,-258.0,-137.0
272,Ba4Co4O12,1384.0,384.0,768.0,-396.0,396.0,1.997392040390427,-554.0,-238.0
273,Si2Ag8O8,1325.4,180.8,452.0,-116.0,116.0,2.2247415867672036,-456.0,-31.0
274,Lu12Sb4O28,1669.75,442.10596863195593,1021.0,-532.75,532.75,2.7617820295015223,-626.0,-253.0
276,Na4O2,371.0,0.0,0.0,-414.0,414.0,1.3862943611158907,-414.0,-414.0
277,Ca3Mo12O24,2539.8,712.3999999999999,1781.0,-325.4,325.4,2.666765763832756,-635.0,-248.0
278,Ca4O4,1115.0,0.0,0.0,-635.0,635.0,1.3862943611158907,-635.0,-635.0
279,Cr4Re4O16,2819.5,639.5,1279.0,-278.5,278.5,1.9110188519181464,-380.0,-177.0
281,Ag16Se8O32,988.0,349.31074990615446,741.0,-78.0,78.0,3.1680639714633734,-172.0,-31.0
282,Mn6Sb2O16,1365.25,266.30281166371486,615.0,-352.0,352.0,2.006798166761414,-385.0,-253.0
283,Sr4Ag4O8,1142.5,92.5,185.0,-311.5,311.5,2.0740668904737634,-592.0,-31.0
284,Cd8Co16O32,1376.6666666666667,553.4289074086712,1174.0,-244.66666666666666,244.66666666666666,3.127093074354789,-258.0,-238.0
285,Y4Sn4O12,1152.0,647.0,1294.0,-463.0,463.0,2.069102055960985,-635.0,-291.0
286,Mg2O2,923.0,0.0,0.0,-602.0,602.0,0.6931471805579453,-602.0,-602.0
287,K1Pt1O3,1189.0,852.0,1704.0,-215.0,215.0,0.45103053778431573,-363.0,-67.0
288,Ga16Co8O32,791.3333333333334,690.6076229588615,1465.0,-321.3333333333333,321.3333333333333,3.175037196650342,-363.0,-238.0
289,Ru1Pt1O4,2324.0,283.0,566.0,-110.0,110.0,0.6418806861935448,-153.0,-67.0
290,Sr8Tl8O20,813.5,236.5,473.0,-361.0,361.0,2.6903638666494523,-592.0,-130.0
292,Cs4Sb4O8,603.0,301.0,602.0,-299.5,299.5,2.078482796930329,-346.0,-253.0
293,Cr8Fe4O16,2057.0,173.9482681718907,369.0,-345.0,345.0,2.484331256164893,-380.0,-275.0
294,Al4Sn4O12,719.0,214.0,428.0,-425.0,425.0,1.865480323274984,-559.0,-291.0
295,Pd2O2,1828.0,0.0,0.0,-85.0,85.0,0.6931471805579453,-85.0,-85.0
297,Li8Bi8O16,499.0,45.0,90.0,-393.5,393.5,2.221566109874162,-596.0,-191.0
299,Cd16Bi8O28,577.3333333333334,23.570226039551585,50.0,-235.66666666666666,235.66666666666666,3.1311504783568327,-258.0,-191.0
300,Bi2Pd4O8,1400.0,605.2834046956847,1284.0,-120.33333333333333,120.33333333333333,1.7359975154835743,-191.0,-85.0
301,Li24Hf3O18,682.0,644.8813844421313,2052.0,-593.4444444444445,593.4444444444445,2.1399493834048964,-596.0,-573.0
302,Ba4Ca4O8,1057.5,57.5,115.0,-594.5,594.5,1.9205796086754536,-635.0,-554.0
305,Cd16Ru16O56,1600.5,1006.5,2013.0,-205.5,205.5,3.4643243856482817,-258.0,-153.0
306,Hf18Re8O6,2799.230769230769,439.84615384615387,953.0,-451.15384615384613,451.15384615384613,3.2579035307950703,-573.0,-177.0
308,Sr8Cu4O14,1152.6666666666667,145.19259240363778,308.0,-447.0,447.0,2.474342975284379,-592.0,-157.0
309,K8Ge2O8,511.8,349.6,874.0,-348.4,348.4,2.264492502057745,-363.0,-290.0
310,Mg2W8O18,3140.6,1108.8,2772.0,-345.2,345.2,2.1766957923651282,-602.0,-281.0
311,Sr2O2,1050.0,0.0,0.0,-592.0,592.0,0.6931471805579453,-592.0,-592.0
312,Ga12O18,303.0,0.0,0.0,-363.0,363.0,2.484906649776,-363.0,-363.0
313,K4Zn12O14,604.0,154.1525218736301,356.0,-354.0,354.0,2.7521297977210133,-363.0,-351.0
314,Ba9Y12O27,1456.5714285714287,395.4024557850094,799.0,-600.2857142857143,600.2857142857143,3.02095210689745,-635.0,-554.0
315,Ba4Bi4O10,772.0,228.0,456.0,-372.5,372.5,2.0578832855395515,-554.0,-191.0
317,Si6Bi4O18,1229.8,559.9533552002346,1143.0,-350.0,350.0,1.90665536414034,-456.0,-191.0
318,Sc6Nb2O14,2048.0,405.2998889711173,936.0,-572.0,572.0,2.019730223736248,-636.0,-380.0
319,K3Au1O1,587.0,433.0127018922193,1000.0,-265.5,265.5,1.0706938712082181,-363.0,27.0
320,Cr2Re4O12,3032.6666666666665,602.9263820917295,1279.0,-244.66666666666666,244.66666666666666,1.6732756308654657,-380.0,-177.0
321,Ag4Au4O8,1286.0,51.0,102.0,-2.0,2.0,2.036096452306003,-31.0,27.0
323,Rb12Al4O12,467.25,268.9008878750682,621.0,-394.0,394.0,2.6947400518419915,-559.0,-339.0
324,Mg4Se4O16,708.5,214.5,429.0,-387.0,387.0,1.9319728466295738,-602.0,-172.0
325,Zr4Nb4O16,2439.0,311.0,622.0,-465.5,465.5,2.079399818345845,-551.0,-380.0
