system_id,bulk_symbols,has_transition_metal,has_noble_metal,has_rare_earth,fraction_transition_metal,d_band_filling,metal_diversity,metal_electronegativity_spread,weighted_electron_affinity
147,Na12Au4O8,1,1,0,0.16666666666666666,1.0,2,1.6099999999999999,95.30000000000001
148,Be2O2,0,0,0,0.0,0.0,1,0.0,0.0
149,Zn2Cr8O16,1,0,0,0.38461538461538464,0.6,2,0.010000000000000009,51.44
150,Li7Ru1O6,1,1,0,0.07142857142857142,0.7,2,1.2200000000000002,64.8125
152,Si8Mo4O24,1,0,0,0.1111111111111111,0.5,2,0.26000000000000023,113.36666666666669
153,Na4O2,0,0,0,0.0,0.0,1,0.0,52.8
154,Li7Os1O6,1,1,0,0.07142857142857142,0.6,2,1.2200000000000002,65.4125
158,Mg9Zn3O12,1,0,0,0.125,1.0,2,0.33999999999999986,0.0
159,Sc8Bi8O24,1,0,1,0.2,0.1,2,0.6599999999999999,54.7
160,K4Ti12O26,1,0,0,0.2857142857142857,0.20000000000000004,2,0.7200000000000001,17.8
161,Fe17O18,1,0,0,0.4857142857142857,0.6,1,0.0,15.7
162,K4Pd2O4,1,1,0,0.2,1.0,2,1.3800000000000003,50.166666666666664
163,Sr12Mn6O23,1,0,0,0.14634146341463414,0.5,2,0.6000000000000001,3.3333333333333335
165,Tl1W3O9,1,0,0,0.23076923076923078,0.4000000000000001,2,0.7399999999999998,63.74999999999999
166,Ag4Bi4O12,1,1,0,0.2,1.0,2,0.09000000000000008,108.44999999999999
167,Rb8Ru4O16,1,1,0,0.14285714285714285,0.7,2,1.3800000000000003,65.03333333333332
168,Li10Os2O12,1,1,0,0.08333333333333333,0.6,2,1.2200000000000002,67.35000000000001
169,Mg6Sn6O18,0,0,0,0.0,0.0,2,0.6499999999999999,53.65
171,Sr4Mo4O12,1,0,0,0.2,0.5,2,1.2100000000000002,38.45
172,Mn18W6O36,1,0,0,0.4,0.4749999999999999,2,0.8099999999999998,19.65
173,Ti6Cd6O18,1,0,0,0.4,0.6,2,0.1499999999999999,3.7999999999999994
174,Sr4Al8O16,0,0,0,0.0,0.0,2,0.6600000000000001,30.0
175,Ce1Zr11O24,1,0,1,0.3055555555555556,0.2,2,0.20999999999999996,41.841666666666676
176,Co6W2O16,1,0,0,0.3333333333333333,0.625,2,0.48,67.42500000000001
178,Li2Ni12O14,1,0,0,0.42857142857142855,0.8000000000000002,2,0.9299999999999999,104.51428571428572
180,Lu4Ga4O12,0,0,1,0.0,0.0,2,0.54,45.5
181,Ge1Bi1O4,0,0,0,0.0,0.0,2,0.010000000000000231,105.15
182,K1Au1O2,1,1,0,0.25,1.0,2,1.7200000000000002,135.6
184,Ti2Cr2O8,1,0,0,0.3333333333333333,0.35,2,0.11999999999999988,35.95
185,Ni1W2O8,1,0,0,0.2727272727272727,0.5333333333333333,2,0.44999999999999996,89.73333333333333
186,Mg4Cu18O26,1,0,0,0.375,1.0,2,0.5899999999999999,96.8727272727273
187,Sr18W6O36,1,0,0,0.1,0.39999999999999997,2,1.41,23.399999999999995
188,Sr8Ga16O32,0,0,0,0.0,0.0,2,0.8600000000000001,29.0
190,Na8Sb16O28,0,0,0,0.0,0.0,2,1.1199999999999997,86.39999999999999
191,Ti3O3,1,0,0,0.5,0.20000000000000004,1,0.0,7.599999999999999
192,V4Sb4O16,1,0,0,0.16666666666666666,0.3,2,0.41999999999999993,77.05
193,Sr8Sb16O48,0,0,0,0.0,0.0,2,1.0999999999999999,70.46666666666667
195,Tl4Sb4O12,0,0,0,0.0,0.0,2,0.4299999999999997,61.2
197,Sc4Ti4O14,1,0,1,0.36363636363636365,0.15000000000000002,2,0.17999999999999994,12.850000000000001
198,Cd16Si8O32,1,0,0,0.2857142857142857,1.0,2,0.20999999999999996,44.699999999999996
199,V2Ni2O6,1,0,0,0.4,0.55,2,0.28,81.45
200,Al16Zn8O32,1,0,0,0.14285714285714285,1.0,2,0.039999999999999813,28.333333333333332
202,Mg4Sb8O16,0,0,0,0.0,0.0,2,0.7399999999999998,68.80000000000001
207,Ca2O2,0,0,0,0.0,0.0,1,0.0,2.4
208,Sc2Ga2O6,1,0,1,0.2,0.1,2,0.44999999999999996,29.55
209,Tl1Bi1O4,0,0,0,0.0,0.0,2,0.3999999999999999,55.25
212,Ta2Mn2O8,1,0,0,0.3333333333333333,0.4,2,0.050000000000000044,15.5
215,Ca1Hf1O3,1,0,0,0.2,0.2,2,0.30000000000000004,1.2
216,Cd4Fe4O12,1,0,0,0.4,0.8,2,0.14000000000000012,7.85
217,Sn1Au1O4,1,1,0,0.16666666666666666,1.0,2,0.5800000000000001,165.05
219,Pd2Se2O6,1,1,0,0.2,1.0,2,0.34999999999999964,124.35
221,Li4O4,0,0,0,0.0,0.0,1,0.0,59.6
222,Ba1Al1O3,0,0,0,0.0,0.0,2,0.7200000000000001,28.2
223,Zn2Bi8O18,1,0,0,0.07142857142857142,1.0,2,0.3700000000000001,73.03999999999999
224,Ga12O20,0,0,0,0.0,0.0,1,0.0,41.0
225,Ni2Ag2O4,1,1,0,0.5,0.9,2,0.020000000000000018,118.80000000000001
226,Al8Si4O20,0,0,0,0.0,0.0,2,0.2899999999999998,73.03333333333335
228,Sr12Si4O4,0,0,0,0.0,0.0,2,0.95,37.275
229,Ba2O2,0,0,0,0.0,0.0,1,0.0,13.9
231,Ba2Mn16O32,1,0,0,0.32,0.5,2,0.66,1.5444444444444445
232,Li8Ru4O12,1,1,0,0.16666666666666666,0.7,2,1.2200000000000002,73.49999999999999
233,Lu2Al2O6,0,0,1,0.0,0.0,2,0.3400000000000001,46.25
234,Al4Sn4O12,0,0,0,0.0,0.0,2,0.34999999999999987,74.9
235,Sr8Sn4O16,0,0,0,0.0,0.0,2,1.01,39.1
237,Ag6O2,1,1,0,0.75,1.0,1,0.0,125.60000000000001
239,Na4Be4O6,0,0,0,0.0,0.0,2,0.64,26.4
241,Mg4Mo8O28,1,0,0,0.2,0.5,2,0.8500000000000001,47.93333333333333
243,Sr4Ti4O12,1,0,0,0.2,0.2,2,0.5900000000000001,6.3
244,Ga16Hg8O32,1,0,0,0.14285714285714285,1.0,2,0.18999999999999995,27.333333333333332
245,Sr1Sb1O3,0,0,0,0.0,0.0,2,1.0999999999999999,54.1
247,Ca8Ga8O20,0,0,0,0.0,0.0,2,0.81,21.7
248,Mn1Cu1O2,1,0,0,0.5,0.75,2,0.34999999999999987,59.2
249,Ag2Bi2O4,1,1,0,0.25,1.0,2,0.09000000000000008,108.45
251,Ti4Cd4O12,1,0,0,0.4,0.6,2,0.1499999999999999,3.8
252,Cr16Cd8O32,1,0,0,0.42857142857142855,0.6666666666666666,2,0.030000000000000027,42.86666666666667
253,Lu18W3O36,1,0,1,0.05263157894736842,0.4000000000000001,2,1.0899999999999999,54.08571428571428
254,Co4Si8O24,1,0,0,0.1111111111111111,0.7,2,0.020000000000000018,110.63333333333333
255,Ga12O18,0,0,0,0.0,0.0,1,0.0,41.0
258,Na2Li2O2,0,0,0,0.0,0.0,2,0.04999999999999993,56.199999999999996
259,Al4Bi4O12,0,0,0,0.0,0.0,2,0.4099999999999999,66.9
260,Li10Al2O8,0,0,0,0.0,0.0,2,0.6300000000000001,56.75
262,K6Bi2O8,0,0,0,0.0,0.0,2,1.2000000000000002,59.125
265,Y4Ge1O10,1,0,1,0.26666666666666666,0.1,2,0.7899999999999998,47.480000000000004
266,Rb8Mn12O16,1,0,0,0.3333333333333333,0.5,2,0.7300000000000001,18.759999999999998
267,Y2Bi24O40,1,0,1,0.030303030303030304,0.1,2,0.8,86.55384615384615
268,Co16Si8O32,1,0,0,0.2857142857142857,0.7,2,0.020000000000000018,87.16666666666667
269,Cr4Ni2O8,1,0,0,0.42857142857142855,0.6,2,0.25,80.2
271,Cd1Ir1O3,1,1,0,0.4,0.85,2,0.5100000000000002,75.5
272,Ba4Co4O12,1,0,0,0.2,0.7,2,0.9899999999999999,38.800000000000004
273,Si2Ag8O8,1,1,0,0.4444444444444444,1.0,2,0.030000000000000027,127.29999999999998
274,Lu12Sb4O28,0,0,1,0.0,0.0,2,0.7799999999999998,63.3
276,Na4O2,0,0,0,0.0,0.0,1,0.0,52.8
277,Ca3Mo12O24,1,0,0,0.3076923076923077,0.5,2,1.1600000000000001,57.99999999999999
278,Ca4O4,0,0,0,0.0,0.0,1,0.0,2.4
279,Cr4Re4O16,1,0,0,0.3333333333333333,0.5,2,0.24,39.4
281,Ag16Se8O32,1,1,0,0.2857142857142857,1.0,2,0.6199999999999999,148.73333333333332
282,Mn6Sb2O16,1,0,0,0.25,0.5,2,0.4999999999999998,25.8
283,Sr4Ag4O8,1,1,0,0.25,1.0,2,0.98,65.3
284,Cd8Co16O32,1,0,0,0.42857142857142855,0.7999999999999999,2,0.18999999999999995,42.46666666666667
285,Y4Sn4O12,1,0,1,0.2,0.1,2,0.74,68.45
286,Mg2O2,0,0,0,0.0,0.0,1,0.0,0.0
287,K1Pt1O3,1,1,0,0.2,0.9,2,1.46,126.85000000000001
288,Ga16Co8O32,1,0,0,0.14285714285714285,0.7,2,0.06999999999999984,48.56666666666666
289,Ru1Pt1O4,1,1,0,0.3333333333333333,0.8,2,0.07999999999999963,153.3
290,Sr8Tl8O20,0,0,0,0.0,0.0,2,0.6700000000000002,12.1
292,Cs4Sb4O8,0,0,0,0.0,0.0,2,1.2599999999999998,74.35
293,Cr8Fe4O16,1,0,0,0.42857142857142855,0.5333333333333332,2,0.17000000000000015,48.100000000000016
294,Al4Sn4O12,0,0,0,0.0,0.0,2,0.34999999999999987,74.9
295,Pd2O2,1,1,0,0.5,1.0,1,0.0,53.7
297,Li8Bi8O16,0,0,0,0.0,0.0,2,1.04,75.45
299,Cd16Bi8O28,1,0,0,0.3076923076923077,1.0,2,0.33000000000000007,30.433333333333334
300,Bi2Pd4O8,1,1,0,0.2857142857142857,1.0,2,0.18000000000000016,66.23333333333333
301,Li24Hf3O18,1,0,0,0.06666666666666667,0.20000000000000004,2,0.32000000000000006,52.97777777777778
302,Ba4Ca4O8,0,0,0,0.0,0.0,2,0.10999999999999999,8.15
305,Cd16Ru16O56,1,1,0,0.36363636363636365,0.8500000000000001,2,0.5100000000000002,50.65
306,Hf18Re8O6,1,0,0,0.8125,0.29230769230769227,2,0.5999999999999999,4.461538461538462
308,Sr8Cu4O14,1,0,0,0.15384615384615385,1.0,2,0.95,42.800000000000004
309,K8Ge2O8,0,0,0,0.0,0.0,2,1.19,62.52
310,Mg2W8O18,1,0,0,0.2857142857142857,0.4,2,1.0499999999999998,62.879999999999995
311,Sr2O2,0,0,0,0.0,0.0,1,0.0,5.0
312,Ga12O18,0,0,0,0.0,0.0,1,0.0,41.0
313,K4Zn12O14,1,0,0,0.4,1.0,2,0.83,12.1
314,Ba9Y12O27,1,0,1,0.25,0.10000000000000002,2,0.32999999999999996,22.871428571428577
315,Ba4Bi4O10,0,0,0,0.0,0.0,2,1.13,52.6
317,Si6Bi4O18,0,0,0,0.0,0.0,2,0.1200000000000001,116.97999999999999
318,Sc6Nb2O14,1,0,1,0.36363636363636365,0.175,2,0.24,35.099999999999994
319,K3Au1O1,1,1,0,0.2,1.0,2,1.7200000000000002,92.0
320,Cr2Re4O12,1,0,0,0.3333333333333333,0.5,2,0.24,31.099999999999998
321,Ag4Au4O8,1,1,0,0.5,1.0,2,0.6100000000000001,174.2
323,Rb12Al4O12,0,0,0,0.0,0.0,2,0.7900000000000001,45.8
324,Mg4Se4O16,0,0,0,0.0,0.0,2,1.2399999999999998,97.5
325,Zr4Nb4O16,1,0,0,0.3333333333333333,0.30000000000000004,2,0.27,63.599999999999994
326,Zn2Bi8O18,1,0,0,0.07142857142857142,1.0,2,0.3700000000000001,73.03999999999999
327,Ca4Se4O12,0,0,0,0.0,0.0,2,1.5499999999999998,98.7
328,Ca4O4,0,0,0,0.0,0.0,1,0.0,2.4
329,Li8Ag8O8,1,1,0,0.3333333333333333,1.0,2,0.95,92.6
330,Ta2Mn2O8,1,0,0,0.3333333333333333,0.4,2,0.050000000000000044,15.5
331,Y4Ti4O12,1,0,1,0.4,0.15000000000000002,2,0.32000000000000006,18.6
332,Al4Cu4O12,1,0,0,0.2,1.0,2,0.2899999999999998,80.45
333,Cr2Ir2O12,1,1,0,0.25,0.6,2,0.5400000000000003,107.65
334,Mn18W6O36,1,0,0,0.4,0.4749999999999999,2,0.8099999999999998,19.65
335,Li8Ru4O12,1,1,0,0.16666666666666666,0.7,2,1.2200000000000002,73.49999999999999
336,Ti8Bi4O22,1,0,0,0.23529411764705882,0.2,2,0.48,35.5
339,Lu4Co4O12,1,0,1,0.2,0.7,2,0.6099999999999999,56.85
341,K8Sn2O8,0,0,0,0.0,0.0,2,1.1400000000000001,60.17999999999999
342,Lu8Si4O20,0,0,1,0.0,0.0,2,0.6299999999999999,78.03333333333335
343,Ba6Zr4O14,1,0,0,0.16666666666666666,0.2,2,0.44000000000000006,24.779999999999998
344,Bi1Rh1O4,1,1,0,0.16666666666666666,0.8,2,0.2599999999999998,100.5
345,Y4Pd8O16,1,1,1,0.42857142857142855,0.7000000000000001,2,0.9800000000000002,45.666666666666664
346,Li4Al4O8,0,0,0,0.0,0.0,2,0.6300000000000001,51.05
348,K3Au1O1,1,1,0,0.2,1.0,2,1.7200000000000002,92.0
349,Ti2Nb2O8,1,0,0,0.3333333333333333,0.30000000000000004,2,0.06000000000000005,46.849999999999994
350,Sn4O8,0,0,0,0.0,0.0,1,0.0,107.3
351,Sc1Mo3O8,1,0,1,0.3333333333333333,0.4,2,0.8,58.45
352,Rb6Ni2O4,1,0,0,0.16666666666666666,0.8,2,1.0899999999999999,63.175
354,Zn1Sb4O8,1,0,0,0.07692307692307693,1.0,2,0.3999999999999999,82.56
355,Sr4Cr4O16,1,0,0,0.16666666666666666,0.5,2,0.71,34.65
356,Mn4V4O14,1,0,0,0.36363636363636365,0.4,2,0.07999999999999985,25.45
357,Sc2Au2O4,1,1,1,0.5,0.55,2,1.18,120.45
360,Zn1Sb4O8,1,0,0,0.07692307692307693,1.0,2,0.3999999999999999,82.56
361,Co6W2O16,1,0,0,0.3333333333333333,0.625,2,0.48,67.42500000000001
362,Li2Fe2O4,1,0,0,0.25,0.6,2,0.8500000000000001,37.65
363,Zr9V1O20,1,0,0,0.3333333333333333,0.21000000000000002,2,0.2999999999999998,42.08
365,Y12Sb4O28,1,0,1,0.2727272727272727,0.10000000000000002,2,0.8299999999999998,48.0
366,Li4Au4O8,1,1,0,0.25,1.0,2,1.56,141.20000000000002
367,Na2Co6O8,1,0,0,0.375,0.7000000000000001,2,0.9499999999999998,60.975
368,Co1Au1O4,1,1,0,0.3333333333333333,0.85,2,0.6600000000000001,143.25
370,Nb16O32,1,0,0,0.3333333333333333,0.4,1,0.0,86.1
373,Sc2Mo6O16,1,0,1,0.3333333333333333,0.4,2,0.8,58.45
374,Sr4Mn2O8,1,0,0,0.14285714285714285,0.5,2,0.6000000000000001,3.3333333333333335
375,Li6Ru2O8,1,1,0,0.125,0.7,2,1.2200000000000002,70.025
376,V4Sb16O48,1,0,0,0.058823529411764705,0.3,2,0.41999999999999993,92.74000000000001
378,Li8Bi8O24,0,0,0,0.0,0.0,2,1.04,75.45
379,Sr18W6O36,1,0,0,0.1,0.39999999999999997,2,1.41,23.399999999999995
380,Rb4Li4O4,0,0,0,0.0,0.0,2,0.16000000000000003,53.25
381,Mg2Mn4O6,1,0,0,0.3333333333333333,0.5,2,0.24,0.0
382,Cd8Co8O24,1,0,0,0.4,0.85,2,0.18999999999999995,31.85
383,Sr5Bi3O12,0,0,0,0.0,0.0,2,1.07,37.3625
384,Zn2Ni8O10,1,0,0,0.5,0.8400000000000001,2,0.26,89.6
386,Li4Fe2O6,1,0,0,0.16666666666666666,0.6,2,0.8500000000000001,44.96666666666667
387,Na8Zn4O8,1,0,0,0.2,1.0,2,0.7199999999999999,35.199999999999996
389,V2W4O16,1,0,0,0.2727272727272727,0.36666666666666664,2,0.73,69.36666666666667
391,Tl32O48,0,0,0,0.0,0.0,1,0.0,19.2
392,K4Bi4O8,0,0,0,0.0,0.0,2,1.2000000000000002,69.85
393,K2Pt6O8,1,1,0,0.375,0.9,2,1.46,166.07500000000002
394,Cr4Ag4O16,1,1,0,0.3333333333333333,0.75,2,0.27,94.94999999999999
395,K3Y3O6,1,0,1,0.25,0.10000000000000002,2,0.4,38.99999999999999
396,Ga3Ag3O6,1,1,0,0.25,1.0,2,0.11999999999999988,83.3
397,Rb8Zr4O12,1,0,0,0.16666666666666666,0.2,2,0.5100000000000001,44.96666666666667
399,Ag4Bi4O12,1,1,0,0.2,1.0,2,0.09000000000000008,108.44999999999999
400,Ni2Sb4O12,1,0,0,0.1111111111111111,0.8,2,0.1399999999999999,106.13333333333334
401,Na8Y8O16,1,0,1,0.25,0.1,2,0.2899999999999999,41.2
402,K3Lu3O6,0,0,1,0.0,0.0,2,0.45000000000000007,49.199999999999996
405,Ba1Ag1O2,1,1,0,0.25,1.0,2,1.04,69.75
406,V4Ge8O24,1,0,0,0.1111111111111111,0.3,2,0.3799999999999999,96.3
407,Sc3Tl3O6,1,0,1,0.25,0.10000000000000002,2,0.26,18.650000000000002
408,Nb4Co12O32,1,0,0,0.3333333333333333,0.625,2,0.2799999999999998,69.30000000000001
410,Sn1Bi1O4,0,0,0,0.0,0.0,2,0.06000000000000005,99.3
411,Pd2Se2O6,1,1,0,0.2,1.0,2,0.34999999999999964,124.35
413,Ca3Mo12O24,1,0,0,0.3076923076923077,0.5,2,1.1600000000000001,57.99999999999999
414,Y2Ta6O18,1,0,1,0.3076923076923077,0.25,2,0.28,30.65
416,Ba8Al16O32,0,0,0,0.0,0.0,2,0.7200000000000001,32.96666666666667
417,Bi8O12,0,0,0,0.0,0.0,1,0.0,91.3
418,Ni6O8,1,0,0,0.42857142857142855,0.7999999999999999,1,0.0,112.0
419,Na8Si4O12,0,0,0,0.0,0.0,2,0.9699999999999999,79.9
421,Pd1Ru1O4,1,1,0,0.3333333333333333,0.85,2,0.0,77.5
422,Mg20Si6O36,0,0,0,0.0,0.0,2,0.5899999999999999,30.946153846153848
423,Lu4Mn4O12,1,0,1,0.2,0.5,2,0.28,25.0
