system_id,ads_symbols,count_C,count_H,count_N,count_O,wtd_mean_atomic_number,wtd_mean_atomic_mass,wtd_mean_electronegativity,wtd_mean_covalent_radius,wtd_mean_electron_affinity,wtd_mean_ionization_energy
44,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
45,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
47,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
48,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
50,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
52,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
53,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
54,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
55,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
56,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
57,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
58,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
59,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
60,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
61,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
62,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
63,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
64,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
65,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
66,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
67,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
68,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
69,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
72,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
74,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
75,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
76,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
77,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
78,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
79,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
80,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
81,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
82,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
83,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
85,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
86,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
87,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
88,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
89,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
90,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
91,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
92,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
93,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
95,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
96,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
97,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
98,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
99,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
100,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
103,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
105,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
107,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
108,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
110,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
111,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
112,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
113,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
114,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
115,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
116,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
117,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
118,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
119,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
121,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
122,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
123,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
125,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
128,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
129,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
130,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
132,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
133,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
134,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
135,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
136,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
137,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
138,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
139,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
140,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
141,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
143,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
144,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
145,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
146,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
147,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
148,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
149,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
150,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
152,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
153,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
154,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
158,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
159,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
160,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
161,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
162,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
163,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
165,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
166,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
167,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
168,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
169,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
171,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
172,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
173,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
174,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
175,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
176,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
178,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
180,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
181,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
182,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
184,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
185,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
186,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
187,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
188,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
190,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
191,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
192,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
193,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
195,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
197,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
198,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
199,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
200,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
202,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
207,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
208,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
209,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
212,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
215,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
216,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
217,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
219,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
221,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
222,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
223,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
224,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
225,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
226,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
228,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
229,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
231,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
232,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
233,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
234,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
235,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
237,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
239,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
241,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
243,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
244,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
245,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
247,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
248,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
249,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
251,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
252,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
253,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
254,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
255,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
258,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
259,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
260,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
262,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
265,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
266,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
267,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
268,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
269,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
271,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
272,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
273,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
274,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
276,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
277,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
278,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
279,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
281,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
282,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
283,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
284,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
285,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
286,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
287,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
288,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
289,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
290,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
292,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
293,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
294,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
295,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
297,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
299,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
300,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
301,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
302,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
305,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
306,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
308,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
309,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
310,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
311,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
312,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
313,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
314,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
315,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
317,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
318,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
319,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
320,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
321,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
323,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
324,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
325,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
326,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
327,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
328,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
329,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
330,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
331,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
332,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
333,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
334,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
335,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
336,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
339,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
341,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
342,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
343,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
344,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
345,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
346,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
348,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
349,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
350,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
351,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
352,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
354,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
355,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
356,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
357,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
360,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
361,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
362,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
363,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
365,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
366,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
367,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
368,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
370,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
373,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
374,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
375,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
376,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
378,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
379,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
380,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
381,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
382,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
383,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
384,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
386,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
387,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
389,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
391,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
392,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
393,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
394,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
395,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
396,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
397,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
399,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
400,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
401,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
402,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
405,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
406,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
407,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
408,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
410,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
411,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
413,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
414,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
416,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
417,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
418,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
