dataset,dimensionality,entity_types,subfolder,local_file,source_url,accessed,notes
PINDER,2D,biomolecule+biomolecule (protein-protein),2D/pinder,index.csv.gz,https://storage.googleapis.com/pinder/2023-11/index.csv.gz,2026-06-08,"Kovtun et al. 2024, biorxiv 2024.07.17.603980. Tabular index ONLY (as used in the DataSAIL addendum); 'split' col present. Raw 3D structures NOT downloaded."
PLINDER,2D,biomolecule(protein)+molecule(ligand),2D/plinder,plinder-pl50.parquet,https://storage.googleapis.com/plinder/2024-04/v0/splits/plinder-pl50.parquet,2026-06-08,"Durairaj et al. 2024, biorxiv 2024.07.17.603955. v0 split tables ONLY ('split' col); PL50 is the main split in the addendum. Raw 3D structures NOT downloaded."
PLINDER,2D,biomolecule(protein)+molecule(ligand),2D/plinder,plinder-ecod.parquet,https://storage.googleapis.com/plinder/2024-04/v0/splits/plinder-ecod.parquet,2026-06-08,"Durairaj et al. 2024, biorxiv 2024.07.17.603955. v0 split tables ONLY ('split' col); PL50 is the main split in the addendum. Raw 3D structures NOT downloaded."
PLINDER,2D,biomolecule(protein)+molecule(ligand),2D/plinder,plinder-time.parquet,https://storage.googleapis.com/plinder/2024-04/v0/splits/plinder-time.parquet,2026-06-08,"Durairaj et al. 2024, biorxiv 2024.07.17.603955. v0 split tables ONLY ('split' col); PL50 is the main split in the addendum. Raw 3D structures NOT downloaded."
PLINDER,2D,biomolecule(protein)+molecule(ligand),2D/plinder,plinder-no-posebusters.parquet,https://storage.googleapis.com/plinder/2024-04/v0/splits/plinder-no-posebusters.parquet,2026-06-08,"Durairaj et al. 2024, biorxiv 2024.07.17.603955. v0 split tables ONLY ('split' col); PL50 is the main split in the addendum. Raw 3D structures NOT downloaded."
PLINDER,2D,biomolecule(protein)+molecule(ligand),2D/plinder,plinder-pl50.yaml,https://storage.googleapis.com/plinder/2024-04/v0/splits/plinder-pl50.yaml,2026-06-08,"Durairaj et al. 2024, biorxiv 2024.07.17.603955. v0 split tables ONLY ('split' col); PL50 is the main split in the addendum. Raw 3D structures NOT downloaded."
Gold-standard human PPI,2D,biomolecule+biomolecule (protein-protein),2D/gold_standard_ppi,Intra0_neg_rr.txt,https://ndownloader.figshare.com/files/41270466,2026-06-08,"Bernett et al. 2023, Brief. Bioinform. bbae076. Figshare https://doi.org/10.6084/m9.figshare.21591618.v4 . Intra0/1/2 = partitions P0/P1/P2 (pos/neg UniProt-ID pairs); FASTA = sequences."
Gold-standard human PPI,2D,biomolecule+biomolecule (protein-protein),2D/gold_standard_ppi,Intra0_pos_rr.txt,https://ndownloader.figshare.com/files/41270469,2026-06-08,"Bernett et al. 2023, Brief. Bioinform. bbae076. Figshare https://doi.org/10.6084/m9.figshare.21591618.v4 . Intra0/1/2 = partitions P0/P1/P2 (pos/neg UniProt-ID pairs); FASTA = sequences."
Gold-standard human PPI,2D,biomolecule+biomolecule (protein-protein),2D/gold_standard_ppi,Intra1_neg_rr.txt,https://ndownloader.figshare.com/files/41270472,2026-06-08,"Bernett et al. 2023, Brief. Bioinform. bbae076. Figshare https://doi.org/10.6084/m9.figshare.21591618.v4 . Intra0/1/2 = partitions P0/P1/P2 (pos/neg UniProt-ID pairs); FASTA = sequences."
Gold-standard human PPI,2D,biomolecule+biomolecule (protein-protein),2D/gold_standard_ppi,Intra1_pos_rr.txt,https://ndownloader.figshare.com/files/41270475,2026-06-08,"Bernett et al. 2023, Brief. Bioinform. bbae076. Figshare https://doi.org/10.6084/m9.figshare.21591618.v4 . Intra0/1/2 = partitions P0/P1/P2 (pos/neg UniProt-ID pairs); FASTA = sequences."
Gold-standard human PPI,2D,biomolecule+biomolecule (protein-protein),2D/gold_standard_ppi,Intra2_neg_rr.txt,https://ndownloader.figshare.com/files/41270478,2026-06-08,"Bernett et al. 2023, Brief. Bioinform. bbae076. Figshare https://doi.org/10.6084/m9.figshare.21591618.v4 . Intra0/1/2 = partitions P0/P1/P2 (pos/neg UniProt-ID pairs); FASTA = sequences."
Gold-standard human PPI,2D,biomolecule+biomolecule (protein-protein),2D/gold_standard_ppi,Intra2_pos_rr.txt,https://ndownloader.figshare.com/files/41270481,2026-06-08,"Bernett et al. 2023, Brief. Bioinform. bbae076. Figshare https://doi.org/10.6084/m9.figshare.21591618.v4 . Intra0/1/2 = partitions P0/P1/P2 (pos/neg UniProt-ID pairs); FASTA = sequences."
Gold-standard human PPI,2D,biomolecule+biomolecule (protein-protein),2D/gold_standard_ppi,human_swissprot_oneliner.fasta,https://ndownloader.figshare.com/files/52237748,2026-06-08,"Bernett et al. 2023, Brief. Bioinform. bbae076. Figshare https://doi.org/10.6084/m9.figshare.21591618.v4 . Intra0/1/2 = partitions P0/P1/P2 (pos/neg UniProt-ID pairs); FASTA = sequences."
"Rfam RNA (6320, 13 classes)",1D,gene/RNA (nucleotide sequence),1D/rfam_rna,dataset_Rfam_6320_13classes.fasta,https://raw.githubusercontent.com/kalininalab/DataSAIL/main/examples/dataset_Rfam_6320_13classes.fasta,2026-06-08,"Bundled example dataset in the DataSAIL GitHub repo (examples/). RNA family classification, 6320 sequences."
NASA asteroids,1D,other (generic tabular),1D/nasa_asteroids,nasa.csv,https://raw.githubusercontent.com/kalininalab/DataSAIL/main/examples/nasa.csv,2026-06-08,"Bundled example dataset in the DataSAIL GitHub repo (examples/). Generic 'other'-type tabular dataset, 4687 rows."
PDBBind core (v2013/CASF),2D,biomolecule(protein structure)+molecule(ligand),2D/pdbbind_core,v2013-core/ (195 complexes),https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/pdbbind_v2013_core_set.tar.gz,2026-06-08,"Exact set fetched by DeepChem dc.molnet.load_pdbbind(set_name='core') used in the DataSAIL pdbbind example. PDBBind v2013 CASF core set, 195 protein-ligand complexes; per-complex _protein.pdb/_pocket.pdb/_ligand.sdf/.mol2. STRUCTURAL (3D) - distinct from LP-PDBBind csv. DataSAIL can split it structurally (Foldseek/TMalign)."
MoleculeNet/QM8,1D,molecule,1D/moleculenet,qm8.csv,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/qm8.csv,2026-06-08,"MoleculeNet (Wu et al. 2018), via deepchem (paper used v2.7.1). PAPER'S MAIN 1D REGRESSION dataset (Fig.3). SMILES + 16 electronic-spectra targets."
MoleculeNet/MUV,1D,molecule,1D/moleculenet,muv.csv,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/muv.csv.gz,2026-06-08,"MoleculeNet (Wu et al. 2018). Named in the paper's runtime benchmark (LoHi failed on MUV within 12h). Downloaded gz, decompressed."
Buchwald-Hartwig HTE,3D+,molecule x4 (ligand/additive/base/aryl halide),3D+,Buchwald–Hartwig dataset.xlsx,"Ahneman et al., Science 2018 (10.1126/science.aar5169)",2026-06-08,"C–N cross-coupling HTE yields; 3955 reactions, 4 SMILES components + Output(yield). Multi-component (n-D) split target."
Suzuki-Miyaura HTE,3D+,"molecule/categorical x5+ (reactant1/2, ligand, base, solvent)",3D+,Suzuki–Miyaura dataset.xlsx,"Perera et al., Science 2018 (10.1126/science.aap9112)",2026-06-08,Suzuki coupling HTE yields; 5760 reactions; components as names/shorthand (curated SMILES for structural axes; MAGPIE for bases; solvent descriptors).
