system_id,ads_symbols,HOMO_energy_eV,LUMO_energy_eV,chemical_hardness_eV,chemical_softness,electrophilicity_index,formation_enthalpy_kJmol,entropy_298K_JmolK,characteristic_frequency_cm1,bond_order,has_lone_pair,has_pi_bond,surface_binding_mode
44,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
45,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
47,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
48,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
50,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
52,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
53,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
54,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
55,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
56,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
57,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
58,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
59,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
60,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
61,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
62,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
63,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
64,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
65,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
66,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
67,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
68,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
69,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
72,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
74,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
75,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
76,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
77,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
78,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
79,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
80,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
81,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
82,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
83,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
85,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
86,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
87,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
88,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
89,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
90,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
91,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
92,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
93,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
95,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
96,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
97,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
98,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
99,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
100,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
103,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
105,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
107,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
108,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
110,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
111,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
112,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
113,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
114,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
115,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
116,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
117,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
118,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
119,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
121,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
122,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
123,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
125,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
128,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
129,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
130,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
132,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
133,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
134,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
135,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
136,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
137,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
138,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
139,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
140,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
141,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
143,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
144,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
145,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
146,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
147,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
148,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
149,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
150,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
152,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
153,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
154,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
158,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
159,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
160,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
161,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
162,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
163,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
165,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
166,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
167,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
168,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
169,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
171,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
172,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
173,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
174,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
175,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
176,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
178,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
180,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
181,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
182,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
184,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
185,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
186,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
187,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
188,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
190,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
191,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
192,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
193,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
195,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
197,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
198,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
199,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
200,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
202,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
207,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
208,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
209,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
212,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
215,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
216,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
217,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
219,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
221,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
222,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
223,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
224,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
225,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
226,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
228,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
229,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
231,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
232,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
233,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
234,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
235,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
237,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
239,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
241,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
243,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
244,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
245,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
247,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
248,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
249,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
251,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
252,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
253,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
254,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
255,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
258,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
259,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
260,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
262,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
265,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
266,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
267,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
268,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
269,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
271,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
272,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
273,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
274,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
276,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
277,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
278,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
279,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
281,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
282,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
283,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
284,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
285,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
286,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
287,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
288,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
289,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
290,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
292,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
293,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
294,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
295,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
297,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
299,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
300,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
301,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
302,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
305,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
306,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
308,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
309,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
310,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
311,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
312,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
313,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
314,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
315,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
317,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
318,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
319,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
320,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
321,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
323,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
324,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
325,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
326,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
327,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
328,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
329,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
330,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
331,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
332,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
333,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
334,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
335,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
336,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
339,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
341,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
342,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
343,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
344,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
345,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
346,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
348,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
349,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
350,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
351,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
352,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
354,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
355,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
356,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
357,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
360,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
361,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
362,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
363,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
365,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
366,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
367,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
368,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
370,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
373,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
374,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
375,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
376,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
378,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
379,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
380,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
381,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
382,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
383,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
384,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
386,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
387,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
389,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
391,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
392,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
393,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
394,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
395,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
396,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
397,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
399,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
400,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
401,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
402,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
